clothing	4560302624.16	911487
video games	4560108748.01	913326
baby products	4541435808.03	907186
beauty products	4533874789.00	906417
gardening tools	4531881276.32	905841
automotive	4529861769.61	904962
music instruments	4512294923.00	902389
furniture	4503987208.87	900244
electronics	4497527083.38	903266
pet supplies	4488742181.26	896724
stationery	4481795362.83	898265
home appliances	4473888813.45	895815
sports equipment	4469388254.74	894287
groceries	4466915682.26	895470
footwear	4465575438.21	894424
jewelry	4463824116.38	893980
office equipment	4463565383.79	892370
toys	4462454111.26	892741
books	4457621289.17	890948
health & wellness	4454083325.20	890475
